ticker,estrategia,date,price,action,signal_compra,signal_venta,had_position,entry_price,stop_loss,take_profit,trailing,reason,regime,mode,RSI,MACD,MACD_SIGNAL,ADX,PLUS_DI,MINUS_DI,ATR,STOCH_K,STOCH_D,REL_VOL,EMA20,EMA50,EMA200
KO,trend_follower,2026-02-03,75.875,hold,False,False,False,,,,,,uptrend,,77.1153,1.3641,0.8596,31.162,40.2331,9.0506,1.1502,94.6888,93.1831,1.411,71.6858,70.2595,68.0393
KO,trend_follower,2026-02-04,76.329,hold,False,False,False,,,,,,uptrend,,78.2576,1.5594,0.9996,33.6536,40.9609,8.3762,1.154,92.231,93.2731,1.4655,72.128,70.4975,68.1218
KO,trend_follower,2026-02-05,77.4737,hold,False,False,False,,,,,,uptrend,,80.8531,1.786,1.1569,36.1878,41.7476,7.6194,1.178,93.0316,93.3171,1.1043,72.6371,70.7711,68.2148
KO,trend_follower,2026-02-06,77.9868,hold,False,False,False,,,,,,uptrend,,81.8964,1.9841,1.3223,38.6346,41.4291,7.1843,1.1601,95.0666,93.4431,0.9467,73.1466,71.0541,68.3121
KO,trend_follower,2026-02-09,76.9408,hold,False,False,False,,,,,,uptrend,,73.1467,2.0333,1.4645,39.8311,37.5698,10.7872,1.1879,93.2131,93.7704,1.186,73.508,71.2849,68.3979
KO,trend_follower,2026-02-10,75.7961,hold,False,False,False,,,,,,uptrend,,64.9667,1.9573,1.5631,39.0755,33.3882,18.2749,1.2412,84.233,90.8376,1.4312,73.7259,71.4618,68.4715
KO,trend_follower,2026-02-11,77.5625,hold,False,False,False,,,,,,uptrend,,70.457,2.0164,1.6537,39.1531,37.1886,15.8767,1.3267,82.1397,86.5286,1.1117,74.0913,71.7011,68.562
KO,trend_follower,2026-02-12,77.9572,hold,False,False,False,,,,,,uptrend,,71.5307,2.0712,1.7372,39.7718,40.7499,14.3867,1.3595,81.2642,82.5457,1.2498,74.4595,71.9464,68.6555
KO,trend_follower,2026-02-13,77.6414,hold,False,False,False,,,,,,uptrend,,69.359,2.0653,1.8028,39.6848,38.0516,16.8752,1.3519,84.4462,82.6167,0.7996,74.7625,72.1697,68.7449
KO,trend_follower,2026-02-17,78.5098,hold,False,False,False,,,,,,uptrend,,71.8867,2.1065,1.8636,39.7091,37.3841,16.0121,1.323,83.5277,83.0794,0.785,75.1194,72.4184,68.8421
KO,trend_follower,2026-02-18,78.4407,hold,False,False,False,,,,,,uptrend,,71.3823,2.1092,1.9127,39.8218,36.5996,15.2093,1.2934,85.0834,84.3524,0.7985,75.4357,72.6545,68.9376
